"filename", "language", "Batch", "JavaScript", "JSON", "Python", "Properties", "YAML", "Markdown", "comment", "blank", "total"
"e:\JS Test\Projects\MESBot\tasurik\.env", "Properties", 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"e:\JS Test\Projects\MESBot\tasurik\Quran\dbase.json", "JSON", 0, 0, 69698, 0, 0, 0, 0, 0, 0, 69698
"e:\JS Test\Projects\MESBot\tasurik\cmdsNew\ayah.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 14, 55
"e:\JS Test\Projects\MESBot\tasurik\cmdsNew\boldify.js", "JavaScript", 0, 95, 0, 0, 0, 0, 0, 0, 10, 105
"e:\JS Test\Projects\MESBot\tasurik\cmdsNew\clearCache.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 13, 51
"e:\JS Test\Projects\MESBot\tasurik\cmdsNew\paste.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 1, 9, 41
"e:\JS Test\Projects\MESBot\tasurik\cmdsNew\quizfootballer.js", "JavaScript", 0, 200, 0, 0, 0, 0, 0, 0, 153, 353
"e:\JS Test\Projects\MESBot\tasurik\cmdsNew\source.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 2, 5, 43
"e:\JS Test\Projects\MESBot\tasurik\cmdsNew\spellcheck.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"e:\JS Test\Projects\MESBot\tasurik\cmdsNew\surah.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 1, 24, 90
"e:\JS Test\Projects\MESBot\tasurik\cmdsNew\tune.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 1, 30, 87
"e:\JS Test\Projects\MESBot\tasurik\cmds\4k.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 3, 23
"e:\JS Test\Projects\MESBot\tasurik\cmds\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 23, 0, 22, 45
"e:\JS Test\Projects\MESBot\tasurik\cmds\adduser.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"e:\JS Test\Projects\MESBot\tasurik\cmds\ai.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 2, 3, 32
"e:\JS Test\Projects\MESBot\tasurik\cmds\anagram.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 1, 14, 84
"e:\JS Test\Projects\MESBot\tasurik\cmds\anagramchampionship.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\JS Test\Projects\MESBot\tasurik\cmds\asciiart.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"e:\JS Test\Projects\MESBot\tasurik\cmds\balance.js", "JavaScript", 0, 603, 0, 0, 0, 0, 0, 12, 34, 649
"e:\JS Test\Projects\MESBot\tasurik\cmds\bard.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 0, 12, 85
"e:\JS Test\Projects\MESBot\tasurik\cmds\bard2.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 0, 9, 62
"e:\JS Test\Projects\MESBot\tasurik\cmds\basicTools\checkAdmin.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 8, 35
"e:\JS Test\Projects\MESBot\tasurik\cmds\basicTools\sendImage.js", "JavaScript", 0, 164, 0, 0, 0, 0, 0, 6, 13, 183
"e:\JS Test\Projects\MESBot\tasurik\cmds\blacklist.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"e:\JS Test\Projects\MESBot\tasurik\cmds\boldify.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 1, 4, 83
"e:\JS Test\Projects\MESBot\tasurik\cmds\bored.js", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"e:\JS Test\Projects\MESBot\tasurik\cmds\botoff.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 5, 18
"e:\JS Test\Projects\MESBot\tasurik\cmds\calculator.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 2, 8, 45
"e:\JS Test\Projects\MESBot\tasurik\cmds\cricketFixtures.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 3, 40
"e:\JS Test\Projects\MESBot\tasurik\cmds\database.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 28, 61
